158,2318,45
158,2815,45
158,1092,63
158,2317,45
158,2814,45
102,254,71
102,278,45
180,1808,45
106,3297,45
71,7501,44
155,1037,45
155,3261,45
102,266,50
102,280,45
155,1031,45
100,227,45
100,237,45
100,231,45
100,242,64
103,343,66
D8,1545,45
103,2391,45
103,2461,45
D8,2643,45
103,2922,45
103,3072,45
106,434,45
106,452,45
106,442,45
106,455,45
M-A,7374,44
M-A,7375,42
117,634,44
121,640,68
199,1448,67
199,1992,45
121,2313,44
121,2398,44
117,2778,44
407,49,45
14,7470,44
D9,147,44
64,1518,45
64,1787,44
64,2162,45
64,2164,45
21,7488,45
21,7490,45
21,7492,45
21,7495,45
21,7497,45
D10,7557,45
180,1766,68
180,2993,44
D8,1541,68
180,1765,44
180,1767,77
180,2994,44
188,1384,77
161,1109,44
164,1135,44
D11,223,44
115,616,45
115,617,45
112,575,45
112,591,45
64,1522,45
64,2165,45
21,7491,45
21,7496,45
21,7498,45
D10,7558,44
112,585,45
112,593,64
21,7489,45
21,7494,45
64,1510,44
64,2163,45
D9,153,44
115,620,45
115,621,45
143,882,44
187,1375,85
187,2397,44
79,7547,45
79,7554,45
505,174,45
505,2050,67
161,1107,44
116,628,67
D1,1530,44
116,2311,44
D1,2642,44
505,171,45
173,1193,45
505,2048,45
505,7430,44
L2,1561,44
110,498,45
110,3075,45
110,522,45
110,3076,45
L2,1563,44
173,1199,45
164,1138,44
402,8,45
404,20,65
156,1049,45
156,1057,45
404,14,70
103,338,44
103,340,69
4,1459,45
316,1762,62
L41,1768,43
103,2390,45
103,2460,45
103,2921,45
4,2955,45
103,2963,45
103,3071,45
103,339,44
103,2964,45
4,1464,45
4,2956,45
111,562,45
111,571,45
113,602,45
77,7529,45
77,7539,45
77,7627,45
L41,1769,43
79,7546,45
79,7553,44
156,1046,45
156,1054,45
105,372,73
105,413,45
109,461,45
109,2086,45
109,3073,45
77,7526,45
77,7538,45
77,7626,45
109,469,45
109,2214,45
109,3074,45
105,395,74
105,417,45
113,595,45
402,1,62
111,554,45
111,569,45
140,824,45
60,1483,45
L21,1566,44
140,2180,45
60,2393,67
60,1476,45
L20,1565,44
140,1780,45
140,2178,45
60,2392,64
104,356,45
104,370,45
142,869,45
142,874,62
104,3061,45
104,3063,45
104,352,45
104,366,45
104,3060,45
104,3062,45
140,830,45
62,2209,43
62,2792,44
140,829,45
142,856,45
142,864,45
142,3078,45
142,3080,45
D11,224,44
141,837,44
141,841,45
141,3224,44
62,2208,44
62,2791,43
CA1,3032,79
106,3296,44
D1,1529,44
CA1,3033,109
L5,1581,43
L30,3258,38
L30,3259,38
