individuo,prestadorIndividuo,centro,prestadorCentro,tipoTransporte,dia,hora,tiempoViaje,llegaGeografico,cantidadPediatras,llega
1,7,103,1,AUTO,Jueves,2100,12,Si,0,No
1,7,103,1,AUTO,Viernes,600,8,Si,0,No
1,7,103,1,AUTO,Viernes,700,8,Si,0,No
1,7,103,1,AUTO,Viernes,800,8,Si,2,No
1,7,103,1,AUTO,Viernes,900,8,Si,3,No
1,7,103,1,AUTO,Viernes,1000,8,Si,3,No
1,7,103,1,AUTO,Viernes,1100,8,Si,3,No
1,7,103,1,AUTO,Viernes,1200,8,Si,2,No
1,7,103,1,AUTO,Viernes,1300,8,Si,0,No
1,7,103,1,AUTO,Viernes,1400,8,Si,0,No
1,7,103,1,AUTO,Viernes,1500,8,Si,0,No
1,7,103,1,AUTO,Viernes,1600,8,Si,0,No
1,7,103,1,AUTO,Viernes,1700,-1,No,0,No
1,7,103,1,AUTO,Viernes,1800,-1,No,0,No
1,7,103,1,AUTO,Viernes,1900,-1,No,0,No
1,7,103,1,AUTO,Viernes,2000,-1,No,0,No
1,7,103,1,AUTO,Viernes,2100,12,Si,0,No
1,7,103,1,AUTO,Sabado,600,8,Si,0,No
1,7,103,1,AUTO,Sabado,700,8,Si,0,No
1,7,103,1,AUTO,Sabado,800,8,Si,0,No
1,7,103,1,AUTO,Sabado,900,8,Si,0,No
1,7,103,1,AUTO,Sabado,1000,8,Si,0,No
1,7,103,1,AUTO,Sabado,1100,8,Si,0,No
1,7,103,1,AUTO,Sabado,1200,8,Si,0,No
1,7,103,1,AUTO,Sabado,1300,8,Si,0,No
1,7,103,1,AUTO,Sabado,1400,8,Si,0,No
1,7,103,1,AUTO,Sabado,1500,8,Si,0,No
1,7,103,1,AUTO,Sabado,1600,8,Si,0,No
1,7,103,1,AUTO,Sabado,1700,-1,No,0,No
1,7,103,1,AUTO,Sabado,1800,-1,No,0,No
1,7,103,1,AUTO,Sabado,1900,-1,No,0,No
1,7,103,1,AUTO,Sabado,2000,-1,No,0,No
1,7,103,1,AUTO,Sabado,2100,12,Si,0,No
1,7,104,1,AUTO,Lunes,600,7,Si,0,No
1,7,104,1,AUTO,Lunes,700,7,Si,0,No
1,7,104,1,AUTO,Lunes,800,7,Si,1,No
1,7,104,1,AUTO,Lunes,900,7,Si,1,No
1,7,104,1,AUTO,Lunes,1000,7,Si,1,No
1,7,104,1,AUTO,Lunes,1100,7,Si,1,No
1,7,104,1,AUTO,Lunes,1200,7,Si,0,No
1,7,104,1,AUTO,Lunes,1300,7,Si,0,No
1,7,104,1,AUTO,Lunes,1400,7,Si,0,No
1,7,104,1,AUTO,Lunes,1500,7,Si,0,No
1,7,104,1,AUTO,Lunes,1600,7,Si,0,No
1,7,104,1,AUTO,Lunes,1700,-1,No,0,No
1,7,104,1,AUTO,Lunes,1800,-1,No,0,No
1,7,104,1,AUTO,Lunes,1900,-1,No,0,No
1,7,104,1,AUTO,Lunes,2000,-1,No,0,No
1,7,104,1,AUTO,Lunes,2100,11,Si,0,No
1,7,104,1,AUTO,Martes,600,7,Si,0,No
1,7,104,1,AUTO,Martes,700,7,Si,0,No
